date,ticker,name,price
2011-06-22,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.45
2011-06-22,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.67
2011-06-23,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.85
2011-06-23,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.75
2011-06-23,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.62
2011-06-24,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.79
2011-06-24,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.78
2011-06-24,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.62
2011-06-27,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.65
2011-06-27,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.54
2011-06-27,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.65
2011-06-28,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.65
2011-06-28,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.22
2011-06-28,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.65
2011-06-29,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.38
2011-06-29,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.01
2011-06-29,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.7
2011-06-30,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.33
2011-06-30,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",147.89
2011-06-30,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.7
2011-07-01,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.51
2011-07-01,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",147.84
2011-07-01,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.68
2011-07-05,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.54
2011-07-05,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.02
2011-07-05,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.67
2011-07-06,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.78
2011-07-06,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.11
2011-07-06,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.63
2011-07-07,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.5
2011-07-07,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",147.86
2011-07-07,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.69
2011-07-08,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.81
2011-07-08,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.41
2011-07-08,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.63
2011-07-11,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),117.29
2011-07-11,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.67
2011-07-11,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.55
2011-07-12,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),117.41
2011-07-12,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.76
2011-07-12,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.53
2011-07-13,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),117.43
2011-07-13,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.72
2011-07-13,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.53
2011-07-14,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),117.52
2011-07-14,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.64
2011-07-14,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.51
2011-07-15,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),117.64
2011-07-15,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.7
2011-07-15,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.49
2011-07-18,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),117.69
2011-07-18,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.61
2011-07-18,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.45
