date,ticker,name,price
2016-10-04,VZ-US,Verizon Communications Inc.,51.26
2016-10-05,GS-US,"Goldman Sachs Group, Inc.",166.4
2016-10-05,CAT-US,Caterpillar Inc.,89.42
2016-10-05,MSFT-US,Microsoft Corporation,57.64
2016-10-05,HD-US,"Home Depot, Inc.",127.58
2016-10-05,SHW-US,Sherwin-Williams Company,90.7
2016-10-05,AMGN-US,Amgen Inc.,167.24
2016-10-05,AXP-US,American Express Company,64.36
2016-10-05,MCD-US,McDonald's Corporation,113.41
2016-10-05,V-US,Visa Inc. Class A,83.35
2016-10-05,JPM-US,JPMorgan Chase & Co.,67.69
2016-10-05,TRV-US,"Travelers Companies, Inc.",113.1
2016-10-05,UNH-US,UnitedHealth Group Incorporated,137.6
2016-10-05,IBM-US,International Business Machines Corporation,150.04
2016-10-05,AAPL-US,Apple Inc.,28.26
2016-10-05,JNJ-US,Johnson & Johnson,119.18
2016-10-05,BA-US,Boeing Company,134.66
2016-10-05,HON-US,Honeywell International Inc.,103.97
2016-10-05,AMZN-US,"Amazon.com, Inc.",42.22
2016-10-05,CRM-US,"Salesforce, Inc.",68.42
2016-10-05,CVX-US,Chevron Corporation,102.23
2016-10-05,NVDA-US,NVIDIA Corporation,1.71
2016-10-05,MMM-US,3M Company,144.13
2016-10-05,PG-US,Procter & Gamble Company,88.85
2016-10-05,WMT-US,Walmart Inc.,23.89
2016-10-05,MRK-US,"Merck & Co., Inc.",59.88
2016-10-05,DIS-US,Walt Disney Company,92.45
2016-10-05,KO-US,Coca-Cola Company,41.81
2016-10-05,CSCO-US,"Cisco Systems, Inc.",31.59
2016-10-05,NKE-US,"NIKE, Inc. Class B",52.12
2016-10-05,VZ-US,Verizon Communications Inc.,50.27
2016-10-06,GS-US,"Goldman Sachs Group, Inc.",167.15
2016-10-06,CAT-US,Caterpillar Inc.,89.29
2016-10-06,MSFT-US,Microsoft Corporation,57.74
2016-10-06,HD-US,"Home Depot, Inc.",130.19
2016-10-06,SHW-US,Sherwin-Williams Company,91.36
2016-10-06,AMGN-US,Amgen Inc.,166.9
2016-10-06,AXP-US,American Express Company,61.94
2016-10-06,MCD-US,McDonald's Corporation,113.92
2016-10-06,V-US,Visa Inc. Class A,83.36
2016-10-06,JPM-US,JPMorgan Chase & Co.,67.87
2016-10-06,TRV-US,"Travelers Companies, Inc.",113.18
