date,ticker,name,price
2015-12-23,GIVN-CH,Givaudan SA,1804.0
2015-12-23,GEBN-CH,Geberit AG,334.5
2015-12-23,SCMN-CH,Swisscom AG,497.3
2015-12-28,LOGN-CH,Logitech International S.A.,15.0
2015-12-28,UBSG-CH,UBS Group AG,19.41
2015-12-28,SREN-CH,Swiss Re AG,98.45
2015-12-28,CFR-CH,Compagnie Financiere Richemont SA,71.9
2015-12-28,SLHN-CH,Swiss Life Holding AG,265.9
2015-12-28,PGHN-CH,Partners Group Holding AG,362.0
2015-12-28,LONN-CH,Lonza Group AG,148.76218
2015-12-28,KNIN-CH,Kuehne & Nagel International AG,137.6
2015-12-28,SIKA-CH,Sika AG,60.067863
2015-12-28,NESN-CH,Nestle S.A.,73.6
2015-12-28,HOLN-CH,Holcim Ltd,23.968897
2015-12-28,ROG-CH,Roche Holding Ltd Dividend Right Cert.,274.1
2015-12-28,ABBN-CH,ABB Ltd.,17.285233
2015-12-28,NOVN-CH,Novartis AG,71.88661
2015-12-28,ZURN-CH,Zurich Insurance Group Ltd,255.0
2015-12-28,GIVN-CH,Givaudan SA,1815.0
2015-12-28,GEBN-CH,Geberit AG,336.3
2015-12-28,SCMN-CH,Swisscom AG,500.0
2015-12-29,LOGN-CH,Logitech International S.A.,15.35
2015-12-29,UBSG-CH,UBS Group AG,19.72
2015-12-29,SREN-CH,Swiss Re AG,99.7
2015-12-29,CFR-CH,Compagnie Financiere Richemont SA,72.8
2015-12-29,SLHN-CH,Swiss Life Holding AG,272.9
2015-12-29,PGHN-CH,Partners Group Holding AG,366.0
2015-12-29,LONN-CH,Lonza Group AG,150.80002
2015-12-29,KNIN-CH,Kuehne & Nagel International AG,138.5
2015-12-29,SIKA-CH,Sika AG,60.451206
2015-12-29,NESN-CH,Nestle S.A.,75.15
2015-12-29,HOLN-CH,Holcim Ltd,24.122822
2015-12-29,ROG-CH,Roche Holding Ltd Dividend Right Cert.,278.5
2015-12-29,ABBN-CH,ABB Ltd.,17.478258
2015-12-29,NOVN-CH,Novartis AG,73.31094
2015-12-29,ZURN-CH,Zurich Insurance Group Ltd,259.8
2015-12-29,GIVN-CH,Givaudan SA,1839.0
2015-12-29,GEBN-CH,Geberit AG,339.9
2015-12-29,SCMN-CH,Swisscom AG,507.5
2015-12-30,LOGN-CH,Logitech International S.A.,15.4
2015-12-30,UBSG-CH,UBS Group AG,19.52
2015-12-30,SREN-CH,Swiss Re AG,98.15
2015-12-30,CFR-CH,Compagnie Financiere Richemont SA,72.1
2015-12-30,SLHN-CH,Swiss Life Holding AG,271.3
2015-12-30,PGHN-CH,Partners Group Holding AG,361.25
2015-12-30,LONN-CH,Lonza Group AG,151.0779
2015-12-30,KNIN-CH,Kuehne & Nagel International AG,137.8
2015-12-30,SIKA-CH,Sika AG,60.334538
2015-12-30,NESN-CH,Nestle S.A.,74.55
2015-12-30,HOLN-CH,Holcim Ltd,24.194973
2015-12-30,ROG-CH,Roche Holding Ltd Dividend Right Cert.,276.4
2015-12-30,ABBN-CH,ABB Ltd.,17.333488
2015-12-30,NOVN-CH,Novartis AG,72.72445
2015-12-30,ZURN-CH,Zurich Insurance Group Ltd,258.4
2015-12-30,GIVN-CH,Givaudan SA,1823.0
2015-12-30,GEBN-CH,Geberit AG,340.2
2015-12-30,SCMN-CH,Swisscom AG,503.0
2016-01-04,LOGN-CH,Logitech International S.A.,14.8
2016-01-04,UBSG-CH,UBS Group AG,19.06
2016-01-04,SREN-CH,Swiss Re AG,95.75
2016-01-04,CFR-CH,Compagnie Financiere Richemont SA,69.85
2016-01-04,SLHN-CH,Swiss Life Holding AG,266.6
2016-01-04,PGHN-CH,Partners Group Holding AG,355.5
2016-01-04,LONN-CH,Lonza Group AG,148.20639
2016-01-04,KNIN-CH,Kuehne & Nagel International AG,134.6
2016-01-04,SIKA-CH,Sika AG,59.117847
2016-01-04,NESN-CH,Nestle S.A.,73.55
2016-01-04,HOLN-CH,Holcim Ltd,23.36282
2016-01-04,ROG-CH,Roche Holding Ltd Dividend Right Cert.,273.2
2016-01-04,ABBN-CH,ABB Ltd.,16.831629
2016-01-04,NOVN-CH,Novartis AG,71.677155
2016-01-04,ZURN-CH,Zurich Insurance Group Ltd,250.2
2016-01-04,GIVN-CH,Givaudan SA,1768.0
2016-01-04,GEBN-CH,Geberit AG,333.4
2016-01-04,SCMN-CH,Swisscom AG,495.4
2016-01-05,LOGN-CH,Logitech International S.A.,15.05
2016-01-05,UBSG-CH,UBS Group AG,19.21
2016-01-05,SREN-CH,Swiss Re AG,96.7
2016-01-05,CFR-CH,Compagnie Financiere Richemont SA,69.3
2016-01-05,SLHN-CH,Swiss Life Holding AG,266.8
2016-01-05,PGHN-CH,Partners Group Holding AG,356.25
2016-01-05,LONN-CH,Lonza Group AG,149.41058
2016-01-05,KNIN-CH,Kuehne & Nagel International AG,136.3
2016-01-05,SIKA-CH,Sika AG,60.134533
2016-01-05,NESN-CH,Nestle S.A.,73.8
2016-01-05,HOLN-CH,Holcim Ltd,23.165604
